,Geography,NAME,HouseholdsTotal,HouseholdsTotalLess than $10|000,HouseholdsTotal$10|000 to $14|999,HouseholdsTotal$15|000 to $24|999,HouseholdsTotal$25|000 to $34|999,HouseholdsTotal$35|000 to $49|999,HouseholdsTotal$50|000 to $74|999,HouseholdsTotal$75|000 to $99|999,HouseholdsTotal$100|000 to $149|999,HouseholdsTotal$150|000 to $199|999,HouseholdsTotal$200|000 or more,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),HouseholdsPERCENT ALLOCATEDHousehold income in the past 12 months,FamiliesTotal,FamiliesTotalLess than $10|000,FamiliesTotal$10|000 to $14|999,FamiliesTotal$15|000 to $24|999,FamiliesTotal$25|000 to $34|999,FamiliesTotal$35|000 to $49|999,FamiliesTotal$50|000 to $74|999,FamiliesTotal$75|000 to $99|999,FamiliesTotal$100|000 to $149|999,FamiliesTotal$150|000 to $199|999,FamiliesTotal$200|000 or more,FamiliesMedian income (dollars),FamiliesMean income (dollars),FamiliesPERCENT ALLOCATEDFamily income in the past 12 months,Married-couple familiesTotal,Married-couple familiesTotalLess than $10|000,Married-couple familiesTotal$10|000 to $14|999,Married-couple familiesTotal$15|000 to $24|999,Married-couple familiesTotal$25|000 to $34|999,Married-couple familiesTotal$35|000 to $49|999,Married-couple familiesTotal$50|000 to $74|999,Married-couple familiesTotal$75|000 to $99|999,Married-couple familiesTotal$100|000 to $149|999,Married-couple familiesTotal$150|000 to $199|999,Married-couple familiesTotal$200|000 or more,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsTotalLess than $10|000,Nonfamily householdsTotal$10|000 to $14|999,Nonfamily householdsTotal$15|000 to $24|999,Nonfamily householdsTotal$25|000 to $34|999,Nonfamily householdsTotal$35|000 to $49|999,Nonfamily householdsTotal$50|000 to $74|999,Nonfamily householdsTotal$75|000 to $99|999,Nonfamily householdsTotal$100|000 to $149|999,Nonfamily householdsTotal$150|000 to $199|999,Nonfamily householdsTotal$200|000 or more,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars),Nonfamily householdsPERCENT ALLOCATEDNonfamily income in the past 12 months,state,State
1,0500000US17001,Adams County,27174,5.1,3.4,10.0,9.7,14.3,19.2,14.5,14.6,5.2,4.1,58587,76259,35.1,17118,3.2,2.3,5.6,6.7,10.4,20.4,18.4,20.2,7.3,5.7,77095,91761,34.3,13227,1.5,0.6,2.8,3.8,8.7,20.6,21.3,24.6,8.9,7.3,89847,,10056,9.1,6.3,19.3,15.4,19.5,16.8,7.2,4.0,1.2,1.2,35031,46879,34.2,17|001,Illinois
2,0500000US17003,Alexander County,1781,9.8,8.5,15.3,12.7,16.7,17.2,9.1,7.3,1.6,1.6,39871,52409,57.9,1017,3.3,4.6,11.0,12.4,17.5,20.1,13.3,13.3,2.2,2.4,52054,64179,61.2,737,3.5,6.2,4.9,11.9,15.5,19.9,16.0,15.7,3.0,3.3,59261,,764,18.5,13.9,22.1,13.2,14.5,13.4,3.5,0.3,0.0,0.7,23750,35876,52.1,17|003,Illinois
3,0500000US17005,Bond County,6094,8.3,4.3,9.8,8.5,15.4,18.4,13.1,14.2,5.1,2.9,53654,71898,32.7,3802,5.6,1.2,6.1,9.9,13.0,17.4,16.3,19.8,7.4,3.3,68583,83742,33.6,2964,0.6,0.4,2.9,7.0,13.4,18.7,19.1,24.5,9.5,4.0,85056,,2292,15.5,6.8,16.7,6.9,18.4,20.6,7.3,4.6,1.4,1.9,38314,50773,30.9,17|005,Illinois
4,0500000US17007,Boone County,18897,3.6,3.0,6.6,8.8,11.0,17.7,13.7,19.1,8.6,7.9,74076,93405,38.9,13535,1.4,1.6,4.0,6.3,11.0,15.5,16.4,22.7,10.9,10.2,89518,108385,40.7,10130,0.2,1.1,1.9,4.5,8.0,14.1,15.6,27.7,13.7,13.0,105904,,5362,10.1,7.9,15.8,14.2,11.5,21.1,9.2,7.6,1.6,1.1,36699,49273,34.4,17|007,Illinois
5,0500000US17009,Brown County,1998,2.3,7.1,10.8,5.5,17.9,20.5,13.6,17.7,2.9,1.8,59346,69410,31.7,1087,1.6,1.9,4.4,7.6,13.2,17.3,17.9,28.1,5.0,2.9,79613,85965,34.8,862,0.2,0.7,1.2,3.0,11.8,16.9,22.6,33.5,6.3,3.7,85221,,911,3.8,12.5,18.7,4.5,22.8,27.3,4.4,5.0,0.4,0.4,39688,47915,26.5,17|009,Illinois
6,0500000US17011,Bureau County,13788,4.3,4.4,9.8,9.1,14.8,18.4,13.9,16.3,5.0,4.0,59407,75299,32.7,8946,3.1,1.4,5.6,7.1,12.5,20.3,15.6,22.7,6.5,5.1,74898,87829,36.3,7003,1.7,0.4,2.4,6.1,11.1,19.2,18.2,26.4,8.0,6.6,86332,98774,4842,7.9,9.3,18.5,13.5,18.4,14.8,10.1,4.3,1.3,1.9,35691,49652,25.1,17|011,Illinois
7,0500000US17013,Calhoun County,1272,2.8,5.9,8.5,5.7,10.7,16.7,10.7,26.7,5.7,6.8,74792,88930,50.1,936,2.2,1.4,4.4,3.2,8.0,18.3,12.5,33.7,7.7,8.7,100000,104322,49.5,827,1.2,1.0,3.6,3.5,6.2,18.0,14.1,35.6,8.7,8.1,105121,,336,7.4,18.5,17.9,12.5,17.3,12.2,5.7,7.1,0.0,1.5,30909,42083,45.2,17|013,Illinois
8,0500000US17015,Carroll County,6299,4.6,3.7,9.1,14.0,13.7,20.4,11.2,16.4,4.6,2.4,54959,70684,33.4,3804,2.0,1.6,5.1,8.1,13.3,22.6,14.2,23.4,7.4,2.3,70152,83243,31.7,3144,0.8,0.8,4.0,6.6,11.8,22.4,14.5,27.4,8.9,2.7,80809,,2495,9.5,7.5,15.3,23.5,15.2,15.3,6.9,4.2,0.4,2.5,31035,49085,35.3,17|015,Illinois
9,0500000US17017,Cass County,4983,6.2,3.6,11.1,8.9,12.8,22.8,14.7,13.7,4.4,1.9,58364,68340,31.4,3243,5.7,2.1,5.9,7.1,13.1,22.5,18.0,16.5,6.3,2.8,69441,79361,33.2,2432,3.9,0.0,2.0,5.1,11.9,24.3,20.9,19.8,8.4,3.7,78223,,1740,8.7,7.0,22.0,13.1,14.3,21.0,6.8,6.4,0.5,0.3,34589,43963,27.0,17|017,Illinois
10,0500000US17019,Champaign County,81835,11.9,3.9,8.1,8.6,12.3,15.9,11.3,14.6,6.5,6.9,56939,80535,33.2,42621,3.4,2.0,5.2,5.8,10.2,15.0,15.0,21.4,10.7,11.3,88138,109048,34.1,31973,1.5,0.9,2.1,3.1,7.3,14.0,16.8,26.1,13.9,14.3,106128,128455,39214,21.8,5.7,11.6,11.9,14.6,16.6,6.8,7.1,1.8,2.0,33907,48348,31.9,17|019,Illinois
