,Geography,NAME,HouseholdsTotal,HouseholdsTotalLess than $10,HouseholdsTotal$10,HouseholdsTotal$15,HouseholdsTotal$25,HouseholdsTotal$35,HouseholdsTotal$50,HouseholdsTotal$75,HouseholdsTotal$100,HouseholdsTotal$150,HouseholdsTotal$200,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),HouseholdsPERCENT ALLOCATEDHousehold income in the past 12 months,FamiliesTotal,FamiliesTotalLess than $10,FamiliesTotal$10,FamiliesTotal$15,FamiliesTotal$25,FamiliesTotal$35,FamiliesTotal$50,FamiliesTotal$75,FamiliesTotal$100,FamiliesTotal$150,FamiliesTotal$200,FamiliesMedian income (dollars),FamiliesMean income (dollars),FamiliesPERCENT ALLOCATEDFamily income in the past 12 months,Married-couple familiesTotal,Married-couple familiesTotalLess than $10,Married-couple familiesTotal$10,Married-couple familiesTotal$15,Married-couple familiesTotal$25,Married-couple familiesTotal$35,Married-couple familiesTotal$50,Married-couple familiesTotal$75,Married-couple familiesTotal$100,Married-couple familiesTotal$150,Married-couple familiesTotal$200,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsTotalLess than $10,Nonfamily householdsTotal$10,Nonfamily householdsTotal$15,Nonfamily householdsTotal$25,Nonfamily householdsTotal$35,Nonfamily householdsTotal$50,Nonfamily householdsTotal$75,Nonfamily householdsTotal$100,Nonfamily householdsTotal$150,Nonfamily householdsTotal$200,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars),Nonfamily householdsPERCENT ALLOCATEDNonfamily income in the past 12 months,state,county,tract,State
1,1400000US17001000100,"Census Tract 1,Adams County",2326,3.1,0.6,14.1,10.3,19.5,20.4,11.6,15.9,2.4,2.1,56603,71837,28.1,1138,2.4,0.0,4.8,6.9,18.1,17.6,15.3,29.0,3.3,2.6,78438,91372,29.8,880,3.1,0.0,2.0,4.0,19.0,15.2,17.7,31.3,4.3,3.4,94295,,1188,3.7,1.3,24.6,13.6,20.9,23.1,6.4,3.3,1.5,1.7,42626,52043,26.4,17,001,000100,Illinois
2,1400000US17001000201,"Census Tract 2,01,Adams County",845,4.6,4.4,10.1,17.4,18.5,12.7,14.9,9.1,7.7,0.7,44453,61734,38.7,478,4.8,6.3,6.1,6.7,15.3,14.2,18.6,13.2,13.6,1.3,68750,76399,43.9,378,0.0,7.1,3.4,8.5,11.6,16.1,19.3,15.1,17.2,1.6,82857,,367,4.4,1.9,19.6,27.0,22.6,10.6,10.1,3.8,0.0,0.0,32137,41979,31.9,17,001,000201,Illinois
3,1400000US17001000202,"Census Tract 2,02,Adams County",952,5.9,1.3,8.1,2.7,21.0,30.9,14.1,14.4,0.0,1.7,60690,64593,32.2,557,3.9,0.0,1.1,0.0,18.3,39.0,24.8,11.3,0.0,1.6,70074,74379,32.7,383,0.0,0.0,0.0,0.0,13.3,44.4,23.5,16.4,0.0,2.3,73582,,395,11.6,3.0,19.5,6.6,27.8,11.9,11.1,6.6,0.0,1.8,39507,46009,28.6,17,001,000202,Illinois
4,1400000US17001000400,"Census Tract 4,Adams County",1245,10.0,4.7,12.4,17.3,23.5,12.9,7.3,10.9,1.0,0.0,42328,47794,36.3,649,2.2,1.4,9.9,27.0,13.1,18.5,9.2,16.8,2.0,0.0,44861,58868,27.1,415,1.9,2.2,8.7,8.4,14.7,20.2,14.5,26.3,3.1,0.0,58472,,596,19.5,8.2,16.8,11.6,27.5,9.1,4.4,3.0,0.0,0.0,29397,33640,45.3,17,001,000400,Illinois
5,1400000US17001000500,"Census Tract 5,Adams County",779,14.8,3.1,13.4,15.3,13.0,22.5,12.1,4.1,1.2,0.8,39234,46834,37.2,466,22.5,0.0,4.9,10.1,9.9,24.5,21.2,6.9,0.0,0.0,53198,50802,43.6,351,18.5,0.0,5.7,9.7,3.7,29.6,23.6,9.1,0.0,0.0,55179,,313,16.0,7.7,19.2,23.0,16.0,16.3,0.0,0.0,0.0,1.9,28750,33346,19.2,17,001,000500,Illinois
6,1400000US17001000600,"Census Tract 6,Adams County",1915,1.9,3.3,6.9,9.0,21.6,16.2,13.5,13.3,5.7,8.6,65012,90862,31.5,1215,0.0,3.4,3.0,7.7,14.1,19.3,18.2,17.9,5.5,10.9,78393,99879,27.1,893,0.0,0.0,0.4,2.5,9.5,23.7,19.8,21.7,7.5,14.8,96838,,700,5.1,3.1,15.3,11.3,34.7,9.3,6.1,5.3,6.0,3.7,45258,72808,39.1,17,001,000600,Illinois
7,1400000US17001000700,"Census Tract 7,Adams County",746,16.6,25.3,23.3,11.5,10.6,9.5,1.5,0.9,0.7,0.0,17766,26112,34.7,98,16.3,6.1,13.3,25.5,16.3,6.1,4.1,7.1,5.1,0.0,26400,39727,35.7,72,0.0,0.0,18.1,34.7,22.2,8.3,0.0,9.7,6.9,0.0,27300,,648,19.1,28.2,24.8,8.2,9.7,8.8,1.1,0.0,0.0,0.0,16012,22971,33.3,17,001,000700,Illinois
8,1400000US17001000800,"Census Tract 8,Adams County",1035,12.0,8.7,13.0,19.0,10.7,19.2,9.9,6.4,1.1,0.0,32077,43559,55.4,692,16.5,8.7,4.0,18.8,5.3,29.9,13.9,1.3,1.6,0.0,39688,42319,54.6,311,11.9,0.0,9.0,9.6,6.8,29.9,26.4,2.9,3.5,0.0,54441,,343,2.9,8.7,31.2,19.5,21.6,3.2,1.7,11.1,0.0,0.0,30085,42649,51.3,17,001,000800,Illinois
9,1400000US17001000900,"Census Tract 9,Adams County",1200,11.5,2.3,19.9,12.3,14.6,14.2,10.8,12.4,1.0,1.2,39727,57390,39.9,553,6.3,0.0,10.8,11.0,12.7,18.8,17.0,20.1,2.2,1.1,61060,66501,27.8,303,0.0,0.0,0.0,0.0,17.2,24.8,19.8,32.3,4.0,2.0,92554,,647,15.9,4.2,35.9,13.3,10.7,9.6,5.4,3.9,0.0,1.2,21607,45464,44.7,17,001,000900,Illinois
10,1400000US17001001001,"Census Tract 10,01,Adams County",1367,4.7,4.5,7.5,10.5,16.8,17.8,17.7,17.8,2.4,0.2,56563,63012,37.6,938,5.0,3.4,5.8,10.1,5.3,19.2,22.5,24.8,3.5,0.3,76310,72919,41.7,706,0.0,4.5,1.6,8.9,3.4,19.8,25.5,33.0,2.8,0.4,84097,,429,4.0,6.8,11.4,13.1,40.1,14.9,7.2,2.6,0.0,0.0,36764,40991,27.0,17,001,001001,Illinois
11,1400000US17001001002,"Census Tract 10,02,Adams County",1187,3.4,0.8,8.7,7.2,18.4,23.2,17.9,13.3,4.3,2.9,56378,71679,35.3,700,2.6,0.0,4.3,1.3,17.4,22.9,26.4,14.3,6.0,4.9,75382,85410,29.6,593,1.7,0.0,0.8,1.5,15.5,22.3,30.0,15.3,7.1,5.7,76865,,487,4.5,1.8,15.0,15.6,19.9,25.9,3.5,11.9,1.8,0.0,48420,51023,43.5,17,001,001002,Illinois
12,1400000US17001001100,"Census Tract 11,Adams County",3325,4.6,0.0,12.0,10.1,8.3,18.3,14.2,14.9,8.7,8.9,67120,93121,34.7,2183,1.2,0.0,13.2,2.9,5.9,12.9,16.0,22.0,12.4,13.5,96563,118485,34.2,1678,0.0,0.0,4.4,0.0,2.3,13.3,20.9,25.4,16.2,17.6,116012,,1142,11.2,0.0,14.3,25.7,11.3,26.6,8.1,1.2,1.7,0.0,34484,42306,31.2,17,001,001100,Illinois
13,1400000US17001010100,"Census Tract 101,Adams County",1765,3.2,1.9,7.8,7.0,11.4,24.4,18.4,19.7,2.7,3.7,67385,79316,35.1,1258,2.1,1.7,5.5,2.9,10.3,24.7,18.7,25.7,3.3,5.2,80515,90435,33.9,1072,1.3,0.3,3.2,1.4,8.8,23.9,21.2,30.1,3.8,6.1,90000,,507,6.7,5.3,13.2,17.4,15.0,22.3,15.4,4.7,0.0,0.0,41985,47855,36.1,17,001,010100,Illinois
14,1400000US17001010200,"Census Tract 102,Adams County",1536,6.8,6.5,9.4,8.9,14.2,17.5,16.1,14.1,4.5,2.0,55924,64239,38.7,982,3.3,1.0,4.4,6.5,15.7,18.1,22.3,20.4,6.7,1.6,76136,78732,38.2,758,1.7,1.3,3.7,3.4,12.8,19.5,24.1,25.5,7.1,0.8,79535,,554,13.2,16.2,18.2,15.9,17.1,10.5,3.6,2.2,0.5,2.5,26912,35296,38.1,17,001,010200,Illinois
15,1400000US17001010301,"Census Tract 103,01,Adams County",988,0.8,0.2,7.8,7.2,11.9,18.9,20.1,23.6,7.3,2.1,83400,83855,27.6,817,0.0,0.0,3.4,4.8,13.0,29.6,12.0,27.1,7.6,2.6,73375,87100,27.1,685,0.0,0.0,4.1,4.7,9.1,25.8,13.4,30.8,9.1,3.1,89821,,171,4.7,1.2,28.7,18.7,11.1,5.8,29.8,0.0,0.0,0.0,,45857,29.2,17,001,010301,Illinois
16,1400000US17001010302,"Census Tract 103,02,Adams County",1100,2.5,2.1,10.3,5.1,16.0,23.2,20.3,17.5,2.6,0.5,63833,68995,37.8,778,1.4,0.0,7.8,7.2,6.9,25.3,27.4,21.5,2.3,0.1,80188,77075,37.0,630,0.8,0.0,2.4,3.5,7.3,25.4,32.7,24.9,2.9,0.2,87273,,322,5.3,7.1,17.7,8.1,32.9,16.1,1.9,6.2,3.4,1.2,38622,46436,38.8,17,001,010302,Illinois
17,1400000US17001010400,"Census Tract 104,Adams County",1297,4.9,0.6,3.1,10.9,10.8,16.4,17.5,11.6,16.4,7.8,77261,97090,40.4,1037,1.9,1.4,0.1,6.6,11.0,13.8,21.6,13.4,20.5,9.7,90852,111979,42.1,950,2.1,0.0,0.0,7.2,8.8,13.7,20.8,14.3,22.4,10.6,95811,,260,16.9,3.1,15.0,22.7,11.2,26.9,0.0,4.2,0.0,0.0,30735,35738,33.5,17,001,010400,Illinois
18,1400000US17001010500,"Census Tract 105,Adams County",1181,0.9,2.8,6.9,8.2,5.3,17.9,16.7,23.2,14.4,3.7,94125,100338,23.5,850,0.0,0.0,4.4,5.8,2.2,21.1,16.8,28.2,16.4,5.2,99688,115472,21.4,687,0.0,0.0,5.4,7.1,1.2,15.7,18.3,32.9,13.0,6.4,101140,,331,3.3,10.0,13.3,14.5,13.3,12.1,18.4,8.2,6.9,0.0,42169,58679,26.6,17,001,010500,Illinois
19,1400000US17001010600,"Census Tract 106,Adams County",2385,0.8,5.8,3.6,3.8,11.2,23.4,16.1,18.5,6.4,10.4,78154,111291,33.8,1729,0.3,9.9,1.5,1.3,5.4,20.2,16.8,23.7,8.8,12.1,93911,122807,34.6,1482,0.3,0.0,0.0,0.7,6.3,21.0,19.6,27.6,10.3,14.1,102273,,656,2.0,6.1,13.1,10.4,14.3,28.8,14.3,5.0,0.0,5.9,55034,75541,28.4,17,001,010600,Illinois
20,1400000US17003957600,"Census Tract 9576,Alexander County",616,8.8,10.7,6.8,7.8,25.6,13.3,10.9,10.7,2.1,3.2,45500,58488,50.3,397,3.8,9.1,1.0,7.1,22.9,18.6,13.1,16.1,3.3,5.0,58350,73850,49.4,321,3.1,10.9,0.9,3.4,21.2,16.2,16.2,17.8,4.0,6.2,68375,,219,17.8,13.7,17.4,9.6,30.1,3.7,6.8,0.9,0.0,0.0,26042,30502,50.7,17,003,957600,Illinois
