,Abs_Total,Occupied,Vacant,Geography,NAME,state,State
1,30225,27174,3051,0500000US17001,Adams County,17|001,Illinois
2,3059,1781,1278,0500000US17003,Alexander County,17|003,Illinois
3,6902,6094,808,0500000US17005,Bond County,17|005,Illinois
4,20138,18897,1241,0500000US17007,Boone County,17|007,Illinois
5,2346,1998,348,0500000US17009,Brown County,17|009,Illinois
6,15615,13788,1827,0500000US17011,Bureau County,17|011,Illinois
7,2344,1272,1072,0500000US17013,Calhoun County,17|013,Illinois
8,8195,6299,1896,0500000US17015,Carroll County,17|015,Illinois
9,5702,4983,719,0500000US17017,Cass County,17|017,Illinois
10,92663,81835,10828,0500000US17019,Champaign County,17|019,Illinois
11,15242,13567,1675,0500000US17021,Christian County,17|021,Illinois
12,7378,6379,999,0500000US17023,Clark County,17|023,Illinois
13,6171,5447,724,0500000US17025,Clay County,17|025,Illinois
14,15575,14255,1320,0500000US17027,Clinton County,17|027,Illinois
15,22852,20269,2583,0500000US17029,Coles County,17|029,Illinois
16,2253936,2044658,209278,0500000US17031,Cook County,17|031,Illinois
17,8497,7512,985,0500000US17033,Crawford County,17|033,Illinois
18,4736,4126,610,0500000US17035,Cumberland County,17|035,Illinois
19,41289,38931,2358,0500000US17037,DeKalb County,17|037,Illinois
20,7350,6635,715,0500000US17039,De Witt County,17|039,Illinois
21,8463,7585,878,0500000US17041,Douglas County,17|041,Illinois
22,364157,347385,16772,0500000US17043,DuPage County,17|043,Illinois
23,8306,7544,762,0500000US17045,Edgar County,17|045,Illinois
24,3053,2656,397,0500000US17047,Edwards County,17|047,Illinois
25,15237,14104,1133,0500000US17049,Effingham County,17|049,Illinois
26,8887,7609,1278,0500000US17051,Fayette County,17|051,Illinois
27,6281,5719,562,0500000US17053,Ford County,17|053,Illinois
28,18521,16237,2284,0500000US17055,Franklin County,17|055,Illinois
29,15884,13893,1991,0500000US17057,Fulton County,17|057,Illinois
30,2528,2133,395,0500000US17059,Gallatin County,17|059,Illinois
31,5858,4512,1346,0500000US17061,Greene County,17|061,Illinois
32,21046,20159,887,0500000US17063,Grundy County,17|063,Illinois
33,3847,3190,657,0500000US17065,Hamilton County,17|065,Illinois
34,8980,7368,1612,0500000US17067,Hancock County,17|067,Illinois
35,2239,1501,738,0500000US17069,Hardin County,17|069,Illinois
36,3423,2696,727,0500000US17071,Henderson County,17|071,Illinois
37,22204,20109,2095,0500000US17073,Henry County,17|073,Illinois
38,12865,11242,1623,0500000US17075,Iroquois County,17|075,Illinois
39,27898,23186,4712,0500000US17077,Jackson County,17|077,Illinois
40,4235,3745,490,0500000US17079,Jasper County,17|079,Illinois
41,16657,14608,2049,0500000US17081,Jefferson County,17|081,Illinois
42,9817,7818,1999,0500000US17083,Jersey County,17|083,Illinois
