,Abs_Total,Occupied,Vacant,Geography,NAME,state,county,tract,State
1,2414,2326,88,1400000US17001000100,"Census Tract 1,Adams County",17,001,000100,Illinois
2,902,845,57,1400000US17001000201,"Census Tract 2,01,Adams County",17,001,000201,Illinois
3,1110,952,158,1400000US17001000202,"Census Tract 2,02,Adams County",17,001,000202,Illinois
4,1594,1245,349,1400000US17001000400,"Census Tract 4,Adams County",17,001,000400,Illinois
5,929,779,150,1400000US17001000500,"Census Tract 5,Adams County",17,001,000500,Illinois
6,1974,1915,59,1400000US17001000600,"Census Tract 6,Adams County",17,001,000600,Illinois
7,1022,746,276,1400000US17001000700,"Census Tract 7,Adams County",17,001,000700,Illinois
8,1265,1035,230,1400000US17001000800,"Census Tract 8,Adams County",17,001,000800,Illinois
9,1358,1200,158,1400000US17001000900,"Census Tract 9,Adams County",17,001,000900,Illinois
10,1443,1367,76,1400000US17001001001,"Census Tract 10,01,Adams County",17,001,001001,Illinois
11,1260,1187,73,1400000US17001001002,"Census Tract 10,02,Adams County",17,001,001002,Illinois
12,3432,3325,107,1400000US17001001100,"Census Tract 11,Adams County",17,001,001100,Illinois
13,2017,1765,252,1400000US17001010100,"Census Tract 101,Adams County",17,001,010100,Illinois
14,1693,1536,157,1400000US17001010200,"Census Tract 102,Adams County",17,001,010200,Illinois
15,1124,988,136,1400000US17001010301,"Census Tract 103,01,Adams County",17,001,010301,Illinois
16,1201,1100,101,1400000US17001010302,"Census Tract 103,02,Adams County",17,001,010302,Illinois
17,1444,1297,147,1400000US17001010400,"Census Tract 104,Adams County",17,001,010400,Illinois
18,1290,1181,109,1400000US17001010500,"Census Tract 105,Adams County",17,001,010500,Illinois
19,2753,2385,368,1400000US17001010600,"Census Tract 106,Adams County",17,001,010600,Illinois
20,888,616,272,1400000US17003957600,"Census Tract 9576,Alexander County",17,003,957600,Illinois
21,761,484,277,1400000US17003957700,"Census Tract 9577,Alexander County",17,003,957700,Illinois
22,705,373,332,1400000US17003957800,"Census Tract 9578,Alexander County",17,003,957800,Illinois
23,705,308,397,1400000US17003957900,"Census Tract 9579,Alexander County",17,003,957900,Illinois
24,1546,1294,252,1400000US17005951200,"Census Tract 9512,Bond County",17,005,951200,Illinois
25,2294,2052,242,1400000US17005951300,"Census Tract 9513,Bond County",17,005,951300,Illinois
26,1173,1066,107,1400000US17005951400,"Census Tract 9514,Bond County",17,005,951400,Illinois
27,1889,1682,207,1400000US17005951500,"Census Tract 9515,Bond County",17,005,951500,Illinois
28,1515,1418,97,1400000US17007010101,"Census Tract 101,01,Boone County",17,007,010101,Illinois
29,1503,1304,199,1400000US17007010102,"Census Tract 101,02,Boone County",17,007,010102,Illinois
30,2347,2171,176,1400000US17007010200,"Census Tract 102,Boone County",17,007,010200,Illinois
31,2713,2713,0,1400000US17007010300,"Census Tract 103,Boone County",17,007,010300,Illinois
32,2687,2588,99,1400000US17007010400,"Census Tract 104,Boone County",17,007,010400,Illinois
33,1704,1591,113,1400000US17007010501,"Census Tract 105,01,Boone County",17,007,010501,Illinois
34,2104,1994,110,1400000US17007010502,"Census Tract 105,02,Boone County",17,007,010502,Illinois
35,1487,1310,177,1400000US17007010601,"Census Tract 106,01,Boone County",17,007,010601,Illinois
36,2125,2015,110,1400000US17007010603,"Census Tract 106,03,Boone County",17,007,010603,Illinois
37,1953,1793,160,1400000US17007010604,"Census Tract 106,04,Boone County",17,007,010604,Illinois
38,1254,1007,247,1400000US17009970400,"Census Tract 9704,Brown County",17,009,970400,Illinois
39,1092,991,101,1400000US17009970500,"Census Tract 9705,Brown County",17,009,970500,Illinois
40,1264,1126,138,1400000US17011964700,"Census Tract 9647,Bureau County",17,011,964700,Illinois
41,1493,1242,251,1400000US17011964800,"Census Tract 9648,Bureau County",17,011,964800,Illinois
42,1261,1138,123,1400000US17011964900,"Census Tract 9649,Bureau County",17,011,964900,Illinois
43,1602,1368,234,1400000US17011965000,"Census Tract 9650,Bureau County",17,011,965000,Illinois
44,1841,1577,264,1400000US17011965100,"Census Tract 9651,Bureau County",17,011,965100,Illinois
45,1620,1620,0,1400000US17011965200,"Census Tract 9652,Bureau County",17,011,965200,Illinois
46,1551,1356,195,1400000US17011965300,"Census Tract 9653,Bureau County",17,011,965300,Illinois
47,1999,1746,253,1400000US17011965400,"Census Tract 9654,Bureau County",17,011,965400,Illinois
48,1658,1471,187,1400000US17011965500,"Census Tract 9655,Bureau County",17,011,965500,Illinois
49,1326,1144,182,1400000US17011965600,"Census Tract 9656,Bureau County",17,011,965600,Illinois
50,1223,623,600,1400000US17013951200,"Census Tract 9512,Calhoun County",17,013,951200,Illinois
51,1121,649,472,1400000US17013951300,"Census Tract 9513,Calhoun County",17,013,951300,Illinois
52,2241,1395,846,1400000US17015960100,"Census Tract 9601,Carroll County",17,015,960100,Illinois
53,1291,957,334,1400000US17015960200,"Census Tract 9602,Carroll County",17,015,960200,Illinois
54,1716,1432,284,1400000US17015960300,"Census Tract 9603,Carroll County",17,015,960300,Illinois
55,1013,806,207,1400000US17015960400,"Census Tract 9604,Carroll County",17,015,960400,Illinois
56,1160,1036,124,1400000US17015960500,"Census Tract 9605,Carroll County",17,015,960500,Illinois
57,774,673,101,1400000US17015960600,"Census Tract 9606,Carroll County",17,015,960600,Illinois
58,1099,903,196,1400000US17017960100,"Census Tract 9601,Cass County",17,017,960100,Illinois
59,1129,1020,109,1400000US17017960200,"Census Tract 9602,Cass County",17,017,960200,Illinois
60,1265,1090,175,1400000US17017960300,"Census Tract 9603,Cass County",17,017,960300,Illinois
61,1131,1062,69,1400000US17017960400,"Census Tract 9604,Cass County",17,017,960400,Illinois
62,1078,908,170,1400000US17017960500,"Census Tract 9605,Cass County",17,017,960500,Illinois
63,1113,921,192,1400000US17019000200,"Census Tract 2,Champaign County",17,019,000200,Illinois
64,2866,2163,703,1400000US17019000301,"Census Tract 3,01,Champaign County",17,019,000301,Illinois
65,2371,1616,755,1400000US17019000302,"Census Tract 3,02,Champaign County",17,019,000302,Illinois
66,742,543,199,1400000US17019000401,"Census Tract 4,01,Champaign County",17,019,000401,Illinois
67,1696,1140,556,1400000US17019000402,"Census Tract 4,02,Champaign County",17,019,000402,Illinois
