,EstimateMedian value (dollars),Geography,NAME,s,county,tract,S
1,,1400000US17019000301,"Census Tract 3,01,Champaign County",17,019,000301,Illinois
2,,1400000US17019000302,"Census Tract 3,02,Champaign County",17,019,000302,Illinois
3,,1400000US17019000401,"Census Tract 4,01,Champaign County",17,019,000401,Illinois
4,,1400000US17019000402,"Census Tract 4,02,Champaign County",17,019,000402,Illinois
5,,1400000US17019005901,"Census Tract 59,01,Champaign County",17,019,005901,Illinois
6,,1400000US17019005902,"Census Tract 59,02,Champaign County",17,019,005902,Illinois
7,,1400000US17031320102,"Census Tract 3201,02,Cook County",17,031,320102,Illinois
8,,1400000US17031340600,"Census Tract 3406,Cook County",17,031,340600,Illinois
9,,1400000US17031350100,"Census Tract 3501,Cook County",17,031,350100,Illinois
10,,1400000US17031350400,"Census Tract 3504,Cook County",17,031,350400,Illinois
11,,1400000US17031351100,"Census Tract 3511,Cook County",17,031,351100,Illinois
12,,1400000US17031351500,"Census Tract 3515,Cook County",17,031,351500,Illinois
13,,1400000US17031381500,"Census Tract 3815,Cook County",17,031,381500,Illinois
14,,1400000US17031381700,"Census Tract 3817,Cook County",17,031,381700,Illinois
15,,1400000US17031390300,"Census Tract 3903,Cook County",17,031,390300,Illinois
16,,1400000US17031461000,"Census Tract 4610,Cook County",17,031,461000,Illinois
17,,1400000US17031680600,"Census Tract 6806,Cook County",17,031,680600,Illinois
18,,1400000US17031681100,"Census Tract 6811,Cook County",17,031,681100,Illinois
19,,1400000US17031690300,"Census Tract 6903,Cook County",17,031,690300,Illinois
20,,1400000US17031825801,"Census Tract 8258,01,Cook County",17,031,825801,Illinois
21,,1400000US17031836200,"Census Tract 8362,Cook County",17,031,836200,Illinois
22,,1400000US17031838600,"Census Tract 8386,Cook County",17,031,838600,Illinois
23,,1400000US17031843300,"Census Tract 8433,Cook County",17,031,843300,Illinois
24,,1400000US17031980000,"Census Tract 9800,Cook County",17,031,980000,Illinois
25,,1400000US17031980100,"Census Tract 9801,Cook County",17,031,980100,Illinois
26,,1400000US17031990000,"Census Tract 9900,Cook County",17,031,990000,Illinois
27,,1400000US17037001002,"Census Tract 10,02,DeKalb County",17,037,001002,Illinois
28,,1400000US17037001003,"Census Tract 10,03,DeKalb County",17,037,001003,Illinois
29,,1400000US17087980000,"Census Tract 9800,Johnson County",17,087,980000,Illinois
30,,1400000US17097863003,"Census Tract 8630,03,Lake County",17,097,863003,Illinois
31,,1400000US17097863004,"Census Tract 8630,04,Lake County",17,097,863004,Illinois
32,,1400000US17097863005,"Census Tract 8630,05,Lake County",17,097,863005,Illinois
33,,1400000US17097863006,"Census Tract 8630,06,Lake County",17,097,863006,Illinois
34,,1400000US17097990000,"Census Tract 9900,Lake County",17,097,990000,Illinois
35,,1400000US17109010401,"Census Tract 104,01,McDonough County",17,109,010401,Illinois
36,,1400000US17109980000,"Census Tract 9800,McDonough County",17,109,980000,Illinois
37,,1400000US17113000200,"Census Tract 2,McLean County",17,113,000200,Illinois
38,,1400000US17115003100,"Census Tract 31,Macon County",17,115,003100,Illinois
39,,1400000US17163500400,"Census Tract 5004,St, Clair County",17,163,500400,Illinois
40,,1400000US17163503101,"Census Tract 5031,01,St, Clair County",17,163,503101,Illinois
41,,1400000US17163503800,"Census Tract 5038,St, Clair County",17,163,503800,Illinois
42,,1400000US17163504501,"Census Tract 5045,01,St, Clair County",17,163,504501,Illinois
43,,1400000US17197980000,"Census Tract 9800,Will County",17,197,980000,Illinois
