,Abs_Total,Owner occupied,Renter occupied,Geography,NAME,state,State
1,27174,19567,7607,0500000US17001,Adams County,17|001,Illinois
2,1781,1346,435,0500000US17003,Alexander County,17|003,Illinois
3,6094,4609,1485,0500000US17005,Bond County,17|005,Illinois
4,18897,15590,3307,0500000US17007,Boone County,17|007,Illinois
5,1998,1472,526,0500000US17009,Brown County,17|009,Illinois
6,13788,10352,3436,0500000US17011,Bureau County,17|011,Illinois
7,1272,1159,113,0500000US17013,Calhoun County,17|013,Illinois
8,6299,4945,1354,0500000US17015,Carroll County,17|015,Illinois
9,4983,3880,1103,0500000US17017,Cass County,17|017,Illinois
10,81835,43685,38150,0500000US17019,Champaign County,17|019,Illinois
11,13567,10260,3307,0500000US17021,Christian County,17|021,Illinois
12,6379,5104,1275,0500000US17023,Clark County,17|023,Illinois
13,5447,4231,1216,0500000US17025,Clay County,17|025,Illinois
14,14255,11366,2889,0500000US17027,Clinton County,17|027,Illinois
15,20269,12182,8087,0500000US17029,Coles County,17|029,Illinois
16,2044658,1175143,869515,0500000US17031,Cook County,17|031,Illinois
17,7512,5854,1658,0500000US17033,Crawford County,17|033,Illinois
18,4126,3330,796,0500000US17035,Cumberland County,17|035,Illinois
19,38931,22489,16442,0500000US17037,DeKalb County,17|037,Illinois
20,6635,5073,1562,0500000US17039,De Witt County,17|039,Illinois
21,7585,5839,1746,0500000US17041,Douglas County,17|041,Illinois
22,347385,254336,93049,0500000US17043,DuPage County,17|043,Illinois
23,7544,5449,2095,0500000US17045,Edgar County,17|045,Illinois
24,2656,2114,542,0500000US17047,Edwards County,17|047,Illinois
25,14104,10819,3285,0500000US17049,Effingham County,17|049,Illinois
26,7609,5979,1630,0500000US17051,Fayette County,17|051,Illinois
27,5719,4359,1360,0500000US17053,Ford County,17|053,Illinois
28,16237,12116,4121,0500000US17055,Franklin County,17|055,Illinois
29,13893,10807,3086,0500000US17057,Fulton County,17|057,Illinois
30,2133,1687,446,0500000US17059,Gallatin County,17|059,Illinois
31,4512,3544,968,0500000US17061,Greene County,17|061,Illinois
32,20159,14925,5234,0500000US17063,Grundy County,17|063,Illinois
33,3190,2481,709,0500000US17065,Hamilton County,17|065,Illinois
34,7368,6028,1340,0500000US17067,Hancock County,17|067,Illinois
35,1501,1164,337,0500000US17069,Hardin County,17|069,Illinois
36,2696,2298,398,0500000US17071,Henderson County,17|071,Illinois
37,20109,16018,4091,0500000US17073,Henry County,17|073,Illinois
38,11242,8734,2508,0500000US17075,Iroquois County,17|075,Illinois
39,23186,11405,11781,0500000US17077,Jackson County,17|077,Illinois
40,3745,3125,620,0500000US17079,Jasper County,17|079,Illinois
41,14608,10455,4153,0500000US17081,Jefferson County,17|081,Illinois
42,7818,6334,1484,0500000US17083,Jersey County,17|083,Illinois
43,10006,7913,2093,0500000US17085,Jo Daviess County,17|085,Illinois
44,4055,3458,597,0500000US17087,Johnson County,17|087,Illinois
