,Abs_Total,Owner occupied,Renter occupied,Geography,NAME,state,State
1,2326,2021,305,1400000US17001000100,"Census Tract 1,Adams County",17|001|000100,Illinois
2,845,672,173,1400000US17001000201,"Census Tract 2,01,Adams County",17|001|000201,Illinois
3,952,664,288,1400000US17001000202,"Census Tract 2,02,Adams County",17|001|000202,Illinois
4,1245,665,580,1400000US17001000400,"Census Tract 4,Adams County",17|001|000400,Illinois
5,779,430,349,1400000US17001000500,"Census Tract 5,Adams County",17|001|000500,Illinois
6,1915,1128,787,1400000US17001000600,"Census Tract 6,Adams County",17|001|000600,Illinois
7,746,48,698,1400000US17001000700,"Census Tract 7,Adams County",17|001|000700,Illinois
8,1035,561,474,1400000US17001000800,"Census Tract 8,Adams County",17|001|000800,Illinois
9,1200,601,599,1400000US17001000900,"Census Tract 9,Adams County",17|001|000900,Illinois
10,1367,1013,354,1400000US17001001001,"Census Tract 10,01,Adams County",17|001|001001,Illinois
11,1187,888,299,1400000US17001001002,"Census Tract 10,02,Adams County",17|001|001002,Illinois
12,3325,2124,1201,1400000US17001001100,"Census Tract 11,Adams County",17|001|001100,Illinois
13,1765,1451,314,1400000US17001010100,"Census Tract 101,Adams County",17|001|010100,Illinois
14,1536,1192,344,1400000US17001010200,"Census Tract 102,Adams County",17|001|010200,Illinois
15,988,833,155,1400000US17001010301,"Census Tract 103,01,Adams County",17|001|010301,Illinois
16,1100,949,151,1400000US17001010302,"Census Tract 103,02,Adams County",17|001|010302,Illinois
17,1297,1253,44,1400000US17001010400,"Census Tract 104,Adams County",17|001|010400,Illinois
18,1181,934,247,1400000US17001010500,"Census Tract 105,Adams County",17|001|010500,Illinois
19,2385,2140,245,1400000US17001010600,"Census Tract 106,Adams County",17|001|010600,Illinois
20,616,468,148,1400000US17003957600,"Census Tract 9576,Alexander County",17|003|957600,Illinois
21,484,390,94,1400000US17003957700,"Census Tract 9577,Alexander County",17|003|957700,Illinois
22,373,331,42,1400000US17003957800,"Census Tract 9578,Alexander County",17|003|957800,Illinois
23,308,157,151,1400000US17003957900,"Census Tract 9579,Alexander County",17|003|957900,Illinois
24,1294,1072,222,1400000US17005951200,"Census Tract 9512,Bond County",17|005|951200,Illinois
25,2052,1233,819,1400000US17005951300,"Census Tract 9513,Bond County",17|005|951300,Illinois
26,1066,910,156,1400000US17005951400,"Census Tract 9514,Bond County",17|005|951400,Illinois
27,1682,1394,288,1400000US17005951500,"Census Tract 9515,Bond County",17|005|951500,Illinois
28,1418,1027,391,1400000US17007010101,"Census Tract 101,01,Boone County",17|007|010101,Illinois
