,Abs_Total,Not Hispanic or Latino,Hispanic or Latino,Geography,NAME,state,county,tract,State
1,4813,3958,855,1400000US17031823705,"Census Tract 8237,05,Cook County",17,031,823705,Illinois
2,1899,1890,9,1400000US17169970300,"Census Tract 9703,Schuyler County",17,169,970300,Illinois
3,7141,6135,1006,1400000US17007010400,"Census Tract 104,Boone County",17,007,010400,Illinois
4,4763,4390,373,1400000US17031812900,"Census Tract 8129,Cook County",17,031,812900,Illinois
5,4877,176,4701,1400000US17089853402,"Census Tract 8534,02,Kane County",17,089,853402,Illinois
6,3588,3392,196,1400000US17043841326,"Census Tract 8413,26,DuPage County",17,043,841326,Illinois
7,2699,2680,19,1400000US17043846523,"Census Tract 8465,23,DuPage County",17,043,846523,Illinois
8,3605,3466,139,1400000US17075950200,"Census Tract 9502,Iroquois County",17,075,950200,Illinois
9,7701,6989,712,1400000US17031804607,"Census Tract 8046,07,Cook County",17,031,804607,Illinois
10,3075,249,2826,1400000US17031813302,"Census Tract 8133,02,Cook County",17,031,813302,Illinois
11,3755,3468,287,1400000US17099964100,"Census Tract 9641,LaSalle County",17,099,964100,Illinois
12,2195,1912,283,1400000US17201000800,"Census Tract 8,Winnebago County",17,201,000800,Illinois
13,1581,1434,147,1400000US17077011701,"Census Tract 117,01,Jackson County",17,077,011701,Illinois
14,2141,2119,22,1400000US17163500500,"Census Tract 5005,St, Clair County",17,163,500500,Illinois
15,3619,3619,0,1400000US17031460400,"Census Tract 4604,Cook County",17,031,460400,Illinois
16,6321,5520,801,1400000US17031804902,"Census Tract 8049,02,Cook County",17,031,804902,Illinois
17,3208,3047,161,1400000US17167000202,"Census Tract 2,02,Sangamon County",17,167,000202,Illinois
18,4240,4039,201,1400000US17043844801,"Census Tract 8448,01,DuPage County",17,043,844801,Illinois
19,3519,2860,659,1400000US17197883700,"Census Tract 8837,Will County",17,197,883700,Illinois
20,9079,7065,2014,1400000US17031823703,"Census Tract 8237,03,Cook County",17,031,823703,Illinois
21,6645,6364,281,1400000US17179021500,"Census Tract 215,Tazewell County",17,179,021500,Illinois
22,6390,5587,803,1400000US17089852500,"Census Tract 8525,Kane County",17,089,852500,Illinois
23,2306,727,1579,1400000US17089854401,"Census Tract 8544,01,Kane County",17,089,854401,Illinois
24,3950,3684,266,1400000US17031805202,"Census Tract 8052,02,Cook County",17,031,805202,Illinois
25,2232,2193,39,1400000US17115002700,"Census Tract 27,Macon County",17,115,002700,Illinois
26,4656,4203,453,1400000US17031812100,"Census Tract 8121,Cook County",17,031,812100,Illinois
27,5000,3894,1106,1400000US17031822701,"Census Tract 8227,01,Cook County",17,031,822701,Illinois
28,5565,5525,40,1400000US17031825501,"Census Tract 8255,01,Cook County",17,031,825501,Illinois
29,3718,1859,1859,1400000US17031160501,"Census Tract 1605,01,Cook County",17,031,160501,Illinois
30,3781,3739,42,1400000US17031430500,"Census Tract 4305,Cook County",17,031,430500,Illinois
31,3993,606,3387,1400000US17031803613,"Census Tract 8036,13,Cook County",17,031,803613,Illinois
32,5622,4520,1102,1400000US17031826202,"Census Tract 8262,02,Cook County",17,031,826202,Illinois
33,4619,4458,161,1400000US17097864903,"Census Tract 8649,03,Lake County",17,097,864903,Illinois
34,5027,4162,865,1400000US17031826600,"Census Tract 8266,Cook County",17,031,826600,Illinois
35,4430,4105,325,1400000US17197880321,"Census Tract 8803,21,Will County",17,197,880321,Illinois
36,3304,3271,33,1400000US17031830100,"Census Tract 8301,Cook County",17,031,830100,Illinois
37,1201,544,657,1400000US17031310400,"Census Tract 3104,Cook County",17,031,310400,Illinois
38,4147,3965,182,1400000US17137952000,"Census Tract 9520,Morgan County",17,137,952000,Illinois
39,3613,3386,227,1400000US17031062800,"Census Tract 628,Cook County",17,031,062800,Illinois
40,4896,4397,499,1400000US17043840600,"Census Tract 8406,DuPage County",17,043,840600,Illinois
41,5743,4331,1412,1400000US17043844306,"Census Tract 8443,06,DuPage County",17,043,844306,Illinois
42,3180,3166,14,1400000US17077010100,"Census Tract 101,Jackson County",17,077,010100,Illinois
