,Abs_Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two or more racesTwo races including Some other race,Two or more racesTwo races excluding Some other race.and three or more races,Geography,NAME,state,county,State
1,65878,60689,2615,51,420,8,153,1942,513,1429,0500000US17001,Adams County,17,001,Illinois
2,5488,3502,1836,4,1,22,0,123,15,108,0500000US17003,Alexander County,17,003,Illinois
3,16804,15120,1184,112,165,0,36,187,88,99,0500000US17005,Bond County,17,005,Illinois
4,53592,44895,1437,160,523,0,4200,2377,1243,1134,0500000US17007,Boone County,17,007,Illinois
5,6330,4876,1174,39,3,0,135,103,59,44,0500000US17009,Brown County,17,009,Illinois
6,33338,30452,189,66,298,0,1307,1026,564,462,0500000US17011,Bureau County,17,011,Illinois
7,4537,4357,29,14,2,0,0,135,61,74,0500000US17013,Calhoun County,17,013,Illinois
8,15586,14248,468,44,119,0,79,628,223,405,0500000US17015,Carroll County,17,015,Illinois
9,13058,11075,451,108,89,91,545,699,523,176,0500000US17017,Cass County,17,017,Illinois
10,206583,144522,26996,170,22204,115,2280,10296,3005,7291,0500000US17019,Champaign County,17,019,Illinois
11,34038,32640,555,40,251,19,28,505,114,391,0500000US17021,Christian County,17,021,Illinois
12,15587,15042,118,9,77,0,8,333,193,140,0500000US17023,Clark County,17,023,Illinois
13,13313,12741,67,94,18,0,27,366,0,366,0500000US17025,Clay County,17,025,Illinois
14,37048,34097,1246,12,237,0,178,1278,381,897,0500000US17027,Clinton County,17,027,Illinois
15,47542,43565,1855,57,528,3,268,1266,286,980,0500000US17029,Coles County,17,029,Illinois
16,5265398,2740032,1211240,22867,396831,2068,523543,368817,241519,127298,0500000US17031,Cook County,17,031,Illinois
17,18825,17322,988,39,75,0,74,327,57,270,0500000US17033,Crawford County,17,033,Illinois
18,10528,10148,12,0,22,0,95,251,12,239,0500000US17035,Cumberland County,17,035,Illinois
19,100922,81826,7964,200,2311,26,3859,4736,1431,3305,0500000US17037,DeKalb County,17,037,Illinois
20,15653,15007,176,56,4,0,48,362,145,217,0500000US17039,De Witt County,17,039,Illinois
21,19708,18417,177,101,99,15,151,748,476,272,0500000US17041,Douglas County,17,041,Illinois
22,934094,677738,45922,2202,114491,375,37323,56043,31660,24383,0500000US17043,DuPage County,17,043,Illinois
23,16998,16455,91,23,72,3,141,213,21,192,0500000US17045,Edgar County,17,045,Illinois
24,6233,6000,12,35,21,0,8,157,28,129,0500000US17047,Edwards County,17,047,Illinois
25,34576,33377,193,37,204,0,267,498,111,387,0500000US17049,Effingham County,17,049,Illinois
26,21514,20091,945,22,90,54,41,271,118,153,0500000US17051,Fayette County,17,051,Illinois
27,13589,12632,116,25,85,0,392,339,61,278,0500000US17053,Ford County,17,053,Illinois
28,38068,36500,241,25,94,0,122,1086,453,633,0500000US17055,Franklin County,17,055,Illinois
29,34022,31676,1098,138,51,13,244,802,147,655,0500000US17057,Fulton County,17,057,Illinois
30,5038,4855,11,0,5,0,2,165,27,138,0500000US17059,Gallatin County,17,059,Illinois
31,12187,11719,149,8,27,3,57,224,92,132,0500000US17061,Greene County,17,061,Illinois
32,52364,47962,667,32,389,26,1217,2071,1054,1017,0500000US17063,Grundy County,17,063,Illinois
33,8021,7714,17,0,0,30,86,174,0,174,0500000US17065,Hamilton County,17,065,Illinois
34,17750,17069,118,6,68,4,98,387,163,224,0500000US17067,Hancock County,17,067,Illinois
35,3700,3579,56,0,0,0,0,65,1,64,0500000US17069,Hardin County,17,069,Illinois
36,6485,6265,9,0,0,0,22,189,35,154,0500000US17071,Henderson County,17,071,Illinois
37,49412,45374,1075,26,249,0,1151,1537,931,606,0500000US17073,Henry County,17,073,Illinois
38,27362,25088,262,33,88,0,957,934,445,489,0500000US17075,Iroquois County,17,075,Illinois
39,53676,40131,7807,155,1855,88,1467,2173,474,1699,0500000US17077,Jackson County,17,077,Illinois
