,Abs_Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two or more racesTwo races including Some other race,Two or more racesTwo races excluding Some other race.and three or more races,Geography,NAME,state,county,tract,State
1,4813,4128,133,0,75,0,258,219,23,196,1400000US17031823705,"Census Tract 8237,05,Cook County",17,031,823705,Illinois
2,1899,1856,14,1,0,0,0,28,0,28,1400000US17169970300,"Census Tract 9703,Schuyler County",17,169,970300,Illinois
3,7141,6333,133,0,119,0,374,182,97,85,1400000US17007010400,"Census Tract 104,Boone County",17,007,010400,Illinois
4,4763,3629,656,0,134,0,17,327,218,109,1400000US17031812900,"Census Tract 8129,Cook County",17,031,812900,Illinois
5,4877,2218,45,45,0,0,1461,1108,1053,55,1400000US17089853402,"Census Tract 8534,02,Kane County",17,089,853402,Illinois
6,3588,3024,220,0,217,0,14,113,84,29,1400000US17043841326,"Census Tract 8413,26,DuPage County",17,043,841326,Illinois
7,2699,2464,108,0,12,0,16,99,5,94,1400000US17043846523,"Census Tract 8465,23,DuPage County",17,043,846523,Illinois
8,3605,3392,30,0,10,0,71,102,27,75,1400000US17075950200,"Census Tract 9502,Iroquois County",17,075,950200,Illinois
9,7701,5101,94,0,1544,0,22,940,581,359,1400000US17031804607,"Census Tract 8046,07,Cook County",17,031,804607,Illinois
10,3075,455,156,9,0,0,2141,314,303,11,1400000US17031813302,"Census Tract 8133,02,Cook County",17,031,813302,Illinois
11,3755,3539,0,2,6,14,70,124,110,14,1400000US17099964100,"Census Tract 9641,LaSalle County",17,099,964100,Illinois
12,2195,1419,488,11,57,0,88,132,99,33,1400000US17201000800,"Census Tract 8,Winnebago County",17,201,000800,Illinois
13,1581,1098,194,0,74,0,8,207,130,77,1400000US17077011701,"Census Tract 117,01,Jackson County",17,077,011701,Illinois
14,2141,77,2054,0,0,0,0,10,0,10,1400000US17163500500,"Census Tract 5005,St, Clair County",17,163,500500,Illinois
15,3619,9,3545,0,14,0,0,51,0,51,1400000US17031460400,"Census Tract 4604,Cook County",17,031,460400,Illinois
16,6321,4831,51,0,975,0,182,282,181,101,1400000US17031804902,"Census Tract 8049,02,Cook County",17,031,804902,Illinois
17,3208,2058,969,0,0,0,0,181,0,181,1400000US17167000202,"Census Tract 2,02,Sangamon County",17,167,000202,Illinois
18,4240,3778,8,0,195,0,28,231,92,139,1400000US17043844801,"Census Tract 8448,01,DuPage County",17,043,844801,Illinois
19,3519,2748,293,0,0,0,392,86,34,52,1400000US17197883700,"Census Tract 8837,Will County",17,197,883700,Illinois
20,9079,7455,309,13,534,0,346,422,132,290,1400000US17031823703,"Census Tract 8237,03,Cook County",17,031,823703,Illinois
21,6645,6348,9,3,79,0,10,196,32,164,1400000US17179021500,"Census Tract 215,Tazewell County",17,179,021500,Illinois
22,6390,5679,118,53,184,0,190,166,20,146,1400000US17089852500,"Census Tract 8525,Kane County",17,089,852500,Illinois
23,2306,1137,0,0,0,0,43,1126,1093,33,1400000US17089854401,"Census Tract 8544,01,Kane County",17,089,854401,Illinois
24,3950,2363,149,0,1109,0,33,296,96,200,1400000US17031805202,"Census Tract 8052,02,Cook County",17,031,805202,Illinois
25,2232,2120,11,5,8,0,0,88,21,67,1400000US17115002700,"Census Tract 27,Macon County",17,115,002700,Illinois
26,4656,2907,1154,0,121,0,0,474,187,287,1400000US17031812100,"Census Tract 8121,Cook County",17,031,812100,Illinois
27,5000,3418,604,0,222,0,248,508,343,165,1400000US17031822701,"Census Tract 8227,01,Cook County",17,031,822701,Illinois
28,5565,375,5096,54,39,0,0,1,1,0,1400000US17031825501,"Census Tract 8255,01,Cook County",17,031,825501,Illinois
29,3718,1895,433,0,433,0,743,214,177,37,1400000US17031160501,"Census Tract 1605,01,Cook County",17,031,160501,Illinois
30,3781,62,3686,0,0,0,0,33,33,0,1400000US17031430500,"Census Tract 4305,Cook County",17,031,430500,Illinois
31,3993,794,92,49,159,0,2786,113,113,0,1400000US17031803613,"Census Tract 8036,13,Cook County",17,031,803613,Illinois
32,5622,1218,3919,0,32,18,380,55,32,23,1400000US17031826202,"Census Tract 8262,02,Cook County",17,031,826202,Illinois
33,4619,4103,15,0,281,0,22,198,33,165,1400000US17097864903,"Census Tract 8649,03,Lake County",17,097,864903,Illinois
