,Abs_Total,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available,1-person household,1-person householdNo vehicle available,1-person household1 vehicle available,1-person household2 vehicles available,1-person household3 vehicles available,1-person household4 or more vehicles available,2-person household,2-person householdNo vehicle available,2-person household1 vehicle available,2-person household2 vehicles available,2-person household3 vehicles available,2-person household4 or more vehicles available,3-person household,3-person householdNo vehicle available,3-person household1 vehicle available,3-person household2 vehicles available,3-person household3 vehicles available,3-person household4 or more vehicles available,4-or-more-person household,4-or-more-person householdNo vehicle available,4-or-more-person household1 vehicle available,4-or-more-person household2 vehicles available,4-or-more-person household3 vehicles available,4-or-more-person household4 or more vehicles available,Geography,NAME,state,State
1,27174,2008,8577,9933,4623,2033,8427,1441,5528,1096,236,126,10397,354,1874,5643,1921,605,3433,117,579,1313,1064,360,4917,96,596,1881,1402,942,0500000US17001,Adams County,17|001,Illinois
2,1781,167,712,558,241,103,725,162,446,67,25,25,642,2,166,320,119,35,195,3,38,99,54,1,219,0,62,72,43,42,0500000US17003,Alexander County,17|003,Illinois
3,6094,521,1928,1913,1283,449,2030,431,1167,286,117,29,2184,14,533,1058,472,107,825,13,193,191,340,88,1055,63,35,378,354,225,0500000US17005,Bond County,17|005,Illinois
4,18897,707,4740,7432,3751,2267,4272,451,2786,870,84,81,6175,141,1255,3470,996,313,3090,12,408,1209,1139,322,5360,103,291,1883,1532,1551,0500000US17007,Boone County,17|007,Illinois
5,1998,91,697,786,310,114,754,89,502,148,15,0,718,2,122,376,199,19,225,0,67,85,34,39,301,0,6,177,62,56,0500000US17009,Brown County,17|009,Illinois
6,13788,768,4308,5641,1928,1143,4043,604,2705,626,66,42,5391,119,1099,3149,809,215,1754,21,199,888,405,241,2600,24,305,978,648,645,0500000US17011,Bureau County,17|011,Illinois
7,1272,37,262,487,300,186,312,32,171,65,11,33,565,1,80,308,111,65,97,4,2,27,55,9,298,0,9,87,123,79,0500000US17013,Calhoun County,17|013,Illinois
8,6299,269,2088,2396,1098,448,2158,218,1434,351,110,45,2557,29,484,1426,527,91,654,15,68,226,185,160,930,7,102,393,276,152,0500000US17015,Carroll County,17|015,Illinois
9,4983,280,1655,1882,884,282,1510,237,904,278,54,37,1760,16,434,848,392,70,736,2,138,367,160,69,977,25,179,389,278,106,0500000US17017,Cass County,17|017,Illinois
10,81835,9428,31505,28543,8801,3558,29308,6614,19367,2218,798,311,28318,1722,7334,15418,2909,935,10751,647,2789,4411,2253,651,13458,445,2015,6496,2841,1661,0500000US17019,Champaign County,17|019,Illinois
11,13567,621,4632,5384,1955,975,4898,496,3229,954,190,29,4764,94,897,2654,752,367,1691,12,255,679,496,249,2214,19,251,1097,517,330,0500000US17021,Christian County,17|021,Illinois
12,6379,299,1626,2529,1222,703,1554,186,891,389,28,60,2552,80,430,1335,493,214,921,23,227,224,341,106,1352,10,78,581,360,323,0500000US17023,Clark County,17|023,Illinois
13,5447,296,1891,1785,967,508,1700,241,1170,233,48,8,2020,36,375,935,511,163,798,4,176,302,179,137,929,15,170,315,229,200,0500000US17025,Clay County,17|025,Illinois
14,14255,621,3538,5646,3368,1082,3990,506,2371,870,147,96,5519,111,710,3183,1268,247,1680,0,224,542,682,232,3066,4,233,1051,1271,507,0500000US17027,Clinton County,17|027,Illinois
15,20269,1640,7507,7485,2723,914,6896,1184,4660,855,143,54,7190,290,1643,3988,1016,253,3044,110,664,1361,675,234,3139,56,540,1281,889,373,0500000US17029,Coles County,17|029,Illinois
16,2044658,357375,832535,606249,177627,70872,684709,232072,403910,40735,5827,2165,613454,75997,239110,260163,30825,7359,302975,25491,95943,115003,56195,10343,443520,23815,93572,190348,84780,51005,0500000US17031,Cook County,17|031,Illinois
17,7512,423,2068,2632,1638,751,2263,353,1262,453,162,33,2638,31,431,1343,559,274,1088,1,262,389,313,123,1523,38,113,447,604,321,0500000US17033,Crawford County,17|033,Illinois
18,4126,110,1074,1466,1134,342,1195,84,817,138,75,81,1514,18,174,785,467,70,614,5,30,186,304,89,803,3,53,357,288,102,0500000US17035,Cumberland County,17|035,Illinois
19,38931,2464,12644,15483,5918,2422,11234,1922,7823,1141,240,108,13424,196,3056,7943,1938,291,6056,150,892,2754,1876,384,8217,196,873,3645,1864,1639,0500000US17037,DeKalb County,17|037,Illinois
20,6635,244,2160,2675,1033,523,2197,200,1557,396,11,33,2580,31,397,1483,512,157,613,13,106,273,138,83,1245,0,100,523,372,250,0500000US17039,De Witt County,17|039,Illinois
