,Abs_Total,Car.truck.or van,Car.truck.or vanDrove alone,Car.truck.or vanCarpooled,Car.truck.or vanCarpooledIn 2-person carpool,Car.truck.or vanCarpooledIn 3-person carpool,Car.truck.or vanCarpooledIn 4-person carpool,Car.truck.or vanCarpooledIn 5- or 6-person carpool,Car.truck.or vanCarpooledIn 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab)Bus,Public transportation (excluding taxicab)Subway or elevated rail,Public transportation (excluding taxicab)Long-distance train or commuter rail,Public transportation (excluding taxicab)Light rail.streetcar or trolley (carro público in Puerto Rico),Public transportation (excluding taxicab)Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Geography,NAME,state,State
1,32521,29351,26719,2632,2151,372,70,27,12,149,130,0,0,0,19,0,12,72,771,230,1936,0500000US17001,Adams County,17|001,Illinois
2,1638,1495,1412,83,56,13,0,0,14,19,19,0,0,0,0,0,3,0,13,9,99,0500000US17003,Alexander County,17|003,Illinois
3,6775,5893,5582,311,274,35,2,0,0,1,1,0,0,0,0,0,36,30,328,22,465,0500000US17005,Bond County,17|005,Illinois
4,25275,23292,20600,2692,2360,189,83,17,43,60,26,0,34,0,0,53,33,104,72,122,1539,0500000US17007,Boone County,17|007,Illinois
5,2305,2107,1897,210,189,6,15,0,0,18,0,0,0,0,18,0,0,13,19,1,147,0500000US17009,Brown County,17|009,Illinois
6,15622,14404,13080,1324,971,261,53,15,24,36,36,0,0,0,0,0,15,27,250,108,782,0500000US17011,Bureau County,17|011,Illinois
7,1755,1448,1304,144,80,43,21,0,0,0,0,0,0,0,0,0,0,0,32,14,261,0500000US17013,Calhoun County,17|013,Illinois
8,6374,5801,5361,440,358,27,37,6,12,29,29,0,0,0,0,0,3,4,126,52,359,0500000US17015,Carroll County,17|015,Illinois
9,5722,5284,4590,694,421,236,6,17,14,3,3,0,0,0,0,0,0,5,129,39,262,0500000US17017,Cass County,17|017,Illinois
10,98318,75087,67002,8085,6365,1115,412,116,77,4310,4286,9,0,15,0,80,100,1754,7606,698,8683,0500000US17019,Champaign County,17|019,Illinois
11,14380,13386,12204,1182,860,253,36,19,14,7,7,0,0,0,0,0,19,34,225,51,658,0500000US17021,Christian County,17|021,Illinois
12,7139,6683,5798,885,641,221,0,23,0,13,13,0,0,0,0,0,0,10,99,14,320,0500000US17023,Clark County,17|023,Illinois
13,5821,5259,4981,278,174,25,71,8,0,17,17,0,0,0,0,0,0,0,105,24,416,0500000US17025,Clay County,17|025,Illinois
14,17981,15982,14627,1355,1076,173,39,38,29,150,136,14,0,0,0,0,4,55,299,54,1437,0500000US17027,Clinton County,17|027,Illinois
