,Abs_Total,Car.truck.or van,Car.truck.or vanDrove alone,Car.truck.or vanCarpooled,Car.truck.or vanCarpooledIn 2-person carpool,Car.truck.or vanCarpooledIn 3-person carpool,Car.truck.or vanCarpooledIn 4-person carpool,Car.truck.or vanCarpooledIn 5- or 6-person carpool,Car.truck.or vanCarpooledIn 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab)Bus,Public transportation (excluding taxicab)Subway or elevated rail,Public transportation (excluding taxicab)Long-distance train or commuter rail,Public transportation (excluding taxicab)Light rail.streetcar or trolley (carro público in Puerto Rico),Public transportation (excluding taxicab)Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Geography,NAME,state,State
1,2244,1956,1776,180,121,59,0,0,0,7,7,0,0,0,0,0,0,0,86,0,195,1400000US17001000100,"Census Tract 1,Adams County",17|001|000100,Illinois
2,1018,935,828,107,101,6,0,0,0,13,0,0,0,0,13,0,0,6,15,13,36,1400000US17001000201,"Census Tract 2,01,Adams County",17|001|000201,Illinois
3,1280,1096,1001,95,80,0,12,3,0,0,0,0,0,0,0,0,0,0,68,22,94,1400000US17001000202,"Census Tract 2,02,Adams County",17|001|000202,Illinois
4,1238,1009,951,58,42,16,0,0,0,19,19,0,0,0,0,0,0,8,71,0,131,1400000US17001000400,"Census Tract 4,Adams County",17|001|000400,Illinois
5,803,719,648,71,71,0,0,0,0,11,11,0,0,0,0,0,0,0,7,8,58,1400000US17001000500,"Census Tract 5,Adams County",17|001|000500,Illinois
6,2558,2250,2181,69,61,8,0,0,0,36,30,0,0,0,6,0,0,10,157,0,105,1400000US17001000600,"Census Tract 6,Adams County",17|001|000600,Illinois
7,349,256,227,29,29,0,0,0,0,0,0,0,0,0,0,0,0,28,46,0,19,1400000US17001000700,"Census Tract 7,Adams County",17|001|000700,Illinois
8,1002,888,731,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,58,55,1,1400000US17001000800,"Census Tract 8,Adams County",17|001|000800,Illinois
9,1273,1172,1076,96,96,0,0,0,0,0,0,0,0,0,0,0,0,11,15,10,65,1400000US17001000900,"Census Tract 9,Adams County",17|001|000900,Illinois
10,1644,1594,1281,313,281,32,0,0,0,0,0,0,0,0,0,0,12,0,0,0,38,1400000US17001001001,"Census Tract 10,01,Adams County",17|001|001001,Illinois
11,1404,1277,1113,164,128,36,0,0,0,0,0,0,0,0,0,0,0,9,9,0,109,1400000US17001001002,"Census Tract 10,02,Adams County",17|001|001002,Illinois
12,4294,3870,3593,277,157,70,46,0,4,57,57,0,0,0,0,0,0,0,102,43,222,1400000US17001001100,"Census Tract 11,Adams County",17|001|001100,Illinois
13,2439,2230,2032,198,181,15,0,2,0,0,0,0,0,0,0,0,0,0,43,0,166,1400000US17001010100,"Census Tract 101,Adams County",17|001|010100,Illinois
14,1763,1614,1447,167,155,5,0,0,7,2,2,0,0,0,0,0,0,0,13,23,111,1400000US17001010200,"Census Tract 102,Adams County",17|001|010200,Illinois
15,1354,1149,1103,46,39,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,189,1400000US17001010301,"Census Tract 103,01,Adams County",17|001|010301,Illinois
16,1444,1298,1245,53,48,4,0,0,1,0,0,0,0,0,0,0,0,0,8,7,131,1400000US17001010302,"Census Tract 103,02,Adams County",17|001|010302,Illinois
17,1810,1752,1556,196,148,26,0,22,0,0,0,0,0,0,0,0,0,0,0,0,58,1400000US17001010400,"Census Tract 104,Adams County",17|001|010400,Illinois
18,1329,1230,1111,119,107,0,12,0,0,4,4,0,0,0,0,0,0,0,30,7,58,1400000US17001010500,"Census Tract 105,Adams County",17|001|010500,Illinois
19,3275,3056,2819,237,149,88,0,0,0,0,0,0,0,0,0,0,0,0,27,42,150,1400000US17001010600,"Census Tract 106,Adams County",17|001|010600,Illinois
20,634,560,517,43,29,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,74,1400000US17003957600,"Census Tract 9576,Alexander County",17|003|957600,Illinois
21,395,354,319,35,22,13,0,0,0,0,0,0,0,0,0,0,3,0,9,4,25,1400000US17003957700,"Census Tract 9577,Alexander County",17|003|957700,Illinois
22,424,400,400,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,5,0,1400000US17003957800,"Census Tract 9578,Alexander County",17|003|957800,Illinois
23,185,181,176,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1400000US17003957900,"Census Tract 9579,Alexander County",17|003|957900,Illinois
24,1379,1197,1153,44,34,8,2,0,0,0,0,0,0,0,0,0,8,14,33,2,125,1400000US17005951200,"Census Tract 9512,Bond County",17|005|951200,Illinois
25,2360,1906,1790,116,116,0,0,0,0,1,1,0,0,0,0,0,28,16,241,3,165,1400000US17005951300,"Census Tract 9513,Bond County",17|005|951300,Illinois
26,1200,1125,1039,86,70,16,0,0,0,0,0,0,0,0,0,0,0,0,17,0,58,1400000US17005951400,"Census Tract 9514,Bond County",17|005|951400,Illinois
27,1836,1665,1600,65,54,11,0,0,0,0,0,0,0,0,0,0,0,0,37,17,117,1400000US17005951500,"Census Tract 9515,Bond County",17|005|951500,Illinois
28,2207,2152,1780,372,372,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,1400000US17007010101,"Census Tract 101,01,Boone County",17|007|010101,Illinois
29,1610,1484,1279,205,111,23,56,15,0,0,0,0,0,0,0,0,0,76,0,0,50,1400000US17007010102,"Census Tract 101,02,Boone County",17|007|010102,Illinois
30,2313,2149,1818,331,291,40,0,0,0,16,0,0,16,0,0,0,0,0,13,21,114,1400000US17007010200,"Census Tract 102,Boone County",17|007|010200,Illinois
31,3519,3304,2624,680,623,57,0,0,0,0,0,0,0,0,0,53,0,28,0,13,121,1400000US17007010300,"Census Tract 103,Boone County",17|007|010300,Illinois
32,3503,3206,2944,262,241,21,0,0,0,26,26,0,0,0,0,0,0,0,0,11,260,1400000US17007010400,"Census Tract 104,Boone County",17|007|010400,Illinois
33,2201,1916,1767,149,136,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,285,1400000US17007010501,"Census Tract 105,01,Boone County",17|007|010501,Illinois
34,2000,1817,1795,22,0,0,22,0,0,0,0,0,0,0,0,0,33,0,0,23,127,1400000US17007010502,"Census Tract 105,02,Boone County",17|007|010502,Illinois
35,1815,1555,1390,165,150,10,5,0,0,18,0,0,18,0,0,0,0,0,40,17,185,1400000US17007010601,"Census Tract 106,01,Boone County",17|007|010601,Illinois
36,3422,3086,2867,219,179,38,0,2,0,0,0,0,0,0,0,0,0,0,14,18,304,1400000US17007010603,"Census Tract 106,03,Boone County",17|007|010603,Illinois
37,2685,2623,2336,287,257,0,0,0,30,0,0,0,0,0,0,0,0,0,0,19,43,1400000US17007010604,"Census Tract 106,04,Boone County",17|007|010604,Illinois
38,1166,1010,916,94,77,6,11,0,0,18,0,0,0,0,18,0,0,0,6,1,131,1400000US17009970400,"Census Tract 9704,Brown County",17|009|970400,Illinois
39,1139,1097,981,116,112,0,4,0,0,0,0,0,0,0,0,0,0,13,13,0,16,1400000US17009970500,"Census Tract 9705,Brown County",17|009|970500,Illinois
40,1391,1307,1252,55,22,22,8,0,3,0,0,0,0,0,0,0,6,0,24,0,54,1400000US17011964700,"Census Tract 9647,Bureau County",17|011|964700,Illinois
41,1536,1363,1231,132,44,81,7,0,0,0,0,0,0,0,0,0,3,3,37,26,104,1400000US17011964800,"Census Tract 9648,Bureau County",17|011|964800,Illinois
42,1287,1236,1022,214,203,9,0,2,0,6,6,0,0,0,0,0,0,0,14,0,31,1400000US17011964900,"Census Tract 9649,Bureau County",17|011|964900,Illinois
43,1761,1687,1581,106,77,29,0,0,0,0,0,0,0,0,0,0,0,0,5,21,48,1400000US17011965000,"Census Tract 9650,Bureau County",17|011|965000,Illinois
44,1861,1808,1671,137,83,2,31,3,18,0,0,0,0,0,0,0,4,0,14,1,34,1400000US17011965100,"Census Tract 9651,Bureau County",17|011|965100,Illinois
45,1703,1581,1422,159,156,0,0,0,3,0,0,0,0,0,0,0,0,0,29,28,65,1400000US17011965200,"Census Tract 9652,Bureau County",17|011|965200,Illinois
