year,state,w_county,w_county_name,h_county,h_county_name,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03
2019,IL,17001,"Adams County, Illinois",17001,"Adams County, Illinois",22947,5070,11589,6288,5619,8200,9128,4579,4171,14197
2019,IL,17001,"Adams County, Illinois",17003,"Alexander County, Illinois",5,1,3,1,1,2,2,0,2,3
2019,IL,17001,"Adams County, Illinois",17005,"Bond County, Illinois",16,5,4,7,7,4,5,0,5,11
2019,IL,17001,"Adams County, Illinois",17007,"Boone County, Illinois",4,1,2,1,2,1,1,0,4,0
2019,IL,17001,"Adams County, Illinois",17009,"Brown County, Illinois",269,73,121,75,83,95,91,27,53,189
2019,IL,17001,"Adams County, Illinois",17011,"Bureau County, Illinois",13,4,7,2,1,8,4,1,6,6
2019,IL,17001,"Adams County, Illinois",17013,"Calhoun County, Illinois",12,2,7,3,3,6,3,0,4,8
2019,IL,17001,"Adams County, Illinois",17015,"Carroll County, Illinois",10,4,6,0,2,5,3,0,5,5
2019,IL,17001,"Adams County, Illinois",17017,"Cass County, Illinois",59,11,32,16,12,27,20,15,10,34
2019,IL,17001,"Adams County, Illinois",17019,"Champaign County, Illinois",86,22,46,18,31,23,32,6,35,45
2019,IL,17001,"Adams County, Illinois",17021,"Christian County, Illinois",45,11,19,15,12,19,14,1,22,22
2019,IL,17001,"Adams County, Illinois",17023,"Clark County, Illinois",7,0,6,1,1,0,6,0,2,5
2019,IL,17001,"Adams County, Illinois",17025,"Clay County, Illinois",4,2,1,1,0,1,3,0,1,3
2019,IL,17001,"Adams County, Illinois",17027,"Clinton County, Illinois",13,4,8,1,4,6,3,0,7,6
2019,IL,17001,"Adams County, Illinois",17029,"Coles County, Illinois",28,6,17,5,5,17,6,2,18,8
2019,IL,17001,"Adams County, Illinois",17031,"Cook County, Illinois",133,35,64,34,37,28,68,17,36,80
2019,IL,17001,"Adams County, Illinois",17033,"Crawford County, Illinois",4,2,2,0,2,1,1,0,2,2
2019,IL,17001,"Adams County, Illinois",17035,"Cumberland County, Illinois",6,1,4,1,2,3,1,0,3,3
2019,IL,17001,"Adams County, Illinois",17037,"DeKalb County, Illinois",19,3,5,11,7,6,6,3,7,9
2019,IL,17001,"Adams County, Illinois",17039,"De Witt County, Illinois",15,7,4,4,7,4,4,1,6,8
2019,IL,17001,"Adams County, Illinois",17041,"Douglas County, Illinois",11,1,5,5,6,4,1,0,5,6
2019,IL,17001,"Adams County, Illinois",17043,"DuPage County, Illinois",54,14,28,12,11,9,34,10,11,33
2019,IL,17001,"Adams County, Illinois",17045,"Edgar County, Illinois",7,1,5,1,2,2,3,1,3,3
2019,IL,17001,"Adams County, Illinois",17047,"Edwards County, Illinois",6,3,2,1,0,4,2,0,4,2
2019,IL,17001,"Adams County, Illinois",17049,"Effingham County, Illinois",27,7,13,7,14,6,7,0,10,17
2019,IL,17001,"Adams County, Illinois",17051,"Fayette County, Illinois",22,3,14,5,10,7,5,1,11,10
2019,IL,17001,"Adams County, Illinois",17053,"Ford County, Illinois",7,2,3,2,2,1,4,1,2,4
2019,IL,17001,"Adams County, Illinois",17055,"Franklin County, Illinois",16,4,10,2,2,10,4,1,7,8
2019,IL,17001,"Adams County, Illinois",17057,"Fulton County, Illinois",255,73,112,70,83,84,88,36,88,131
2019,IL,17001,"Adams County, Illinois",17059,"Gallatin County, Illinois",1,0,0,1,0,0,1,0,0,1
